player	pos	team	owner
Matt Moore	TB	SP	FA
Jordan Zimmermann	Was	SP	(P)IMP
Yovani Gallardo	Mil	SP	RIP Ralph Cifaretto
James Shields	KC	SP	FA
Jonathan Papelbon	Phi	RP	FA
Brandon Morrow	Tor	SP	8===D Tation
Jason Motte	StL	RP	Brace Land
Jeff Samardzija	ChC	SP	Mammy's Dumplings
Tim Lincecum	SF	SP	FA
Rafael Soriano	Was	RP	FA
Roy Halladay	Phi	SP	FA
Ian Kennedy	Ari	SP	RIP Ralph Cifaretto
Jake Peavy	CWS	SP	FA
Jon Lester	Bos	SP	FA
Josh Johnson	Tor	SP	FA
Mariano Rivera	NYY	RP	FA
Dan Haren	Was	SP	FA
Fernando Rodney	TB	RP	FA
Joe Nathan	Tex	RP	Brace Land
J.J. Putz	Ari	RP	FA
Matt Harvey	NYM	SP	FA
Sergio Romo	SF	RP	FA
Jim Johnson	Bal	RP	Honey Badgers
Anibal Sanchez	Det	SP	I Have AIDs
Doug Fister	Det	SP	FA
Hiroki Kuroda	NYY	SP	Khal Drogo
Greg Holland	KC	RP	FA
Huston Street	SD	RP	FA
Mike Minor	Atl	SP	FA
John Axford	Mil	RP	FA
Tom Wilhelmsen	Sea	RP	FA
Brett Anderson	Oak	SP	FA
Homer Bailey	Cin	SP	FA
Joel Hanrahan	Bos	RP	FA
Jonathon Niese	NYM	SP	FA
C.J. Wilson	LAA	SP	FA
Jarrod Parker	Oak	SP	FA
Rafael Betancourt	Col	RP	FA
Addison Reed	CWS	RP	FA
Jason Grilli	Pit	RP	FA
Ryan Vogelsong	SF	SP	Brace Land
Glen Perkins	Min	RP	FA
Josh Beckett	LAD	SP	FA
Grant Balfour	Oak	RP	FA
Chris Perez	Cle	RP	FA
A.J. Burnett	Pit	SP	FA
Derek Holland	Tex	SP	FA
Jeremy Hellickson	TB	SP	David Estes' Testes
Marco Estrada	Mil	SP,RP	FA
Matt Garza	ChC	SP	FA
Alex Cobb	TB	SP	FA
Brandon McCarthy	Ari	SP	FA
Bobby Parnell	NYM	RP	FA
Lance Lynn	StL	SP,RP	Mammy's Dumplings
Trevor Cahill	Ari	SP	FA
Brandon League	LAD	RP	FA
Tim Hudson	Atl	SP	Honey Badgers
Edwin Jackson	ChC	SP	FA
Steve Cishek	Mia	RP	FA
Alexi Ogando	Tex	RP	FA
Kenley Jansen	LAD	RP	FA
Phil Hughes	NYY	SP	FA
